timestamp,value,predicted_value,error,p_label,fired,r_label
2014-04-02 14:29:00,42.652,39.2511770967,3.4008229033,0,-1,0
2014-04-02 14:34:00,41.362,40.2757325537,1.08626744633,0,-1,0
2014-04-02 14:39:00,43.408,43.4364611095,0.0284611094771,0,-1,0
2014-04-02 14:44:00,40.262,40.0813437378,0.180656262177,0,-1,0
2014-04-02 14:49:00,40.328,43.1177211141,2.78972111412,0,-1,0
2014-04-02 14:54:00,42.652,41.0598915188,1.59210848125,0,-1,0
2014-04-02 14:59:00,39.836,42.3807835643,2.54478356426,0,-1,0
2014-04-02 15:04:00,42.57,38.6284328699,3.94156713006,0,-1,0
2014-04-02 15:09:00,45.212,40.2342869138,4.97771308619,0,-1,0
2014-04-02 15:14:00,41.15,40.3530252849,0.796974715055,0,-1,0
2014-04-02 15:19:00,42.91,43.6720782084,0.762078208407,0,-1,0
2014-04-02 15:24:00,43.756,34.8433096512,8.91269034885,0,-1,0
2014-04-02 15:29:00,38.522,44.5766692254,6.05466922539,0,-1,0
2014-04-02 15:34:00,42.488,41.9847129913,0.503287008671,0,-1,0
2014-04-02 15:39:00,41.268,36.8701208413,4.39787915867,0,-1,0
2014-04-02 15:44:00,42.136,44.3477162529,2.2117162529,0,-1,0
2014-04-02 15:49:00,42.066,40.0696814045,1.99631859555,0,-1,0
2014-04-02 15:54:00,43.544,43.0333256457,0.510674354287,0,-1,0
2014-04-02 15:59:00,38.404,40.1084921439,1.7044921439,0,-1,0
2014-04-02 16:04:00,42.018,39.1057465259,2.91225347415,0,-1,0
2014-04-02 16:09:00,44.872,42.6008461253,2.27115387467,0,-1,0
2014-04-02 16:14:00,40.658,42.6684687763,2.01046877626,0,-1,0
2014-04-02 16:19:00,42.276,39.8635767062,2.41242329379,0,-1,0
2014-04-02 16:24:00,43.052,44.1722227085,1.1202227085,0,-1,0
2014-04-02 16:29:00,43.568,43.4317430734,0.136256926563,0,-1,0
2014-04-02 16:34:00,38.356,44.0945433831,5.73854338313,0,-1,0
2014-04-02 16:39:00,39.788,43.9179566617,4.12995666166,0,-1,0
2014-04-02 16:44:00,41.83,41.1033604861,0.726639513854,0,-1,0
2014-04-02 16:49:00,39.038,43.6541072634,4.61610726345,0,-1,0
2014-04-02 16:54:00,42.184,41.9221496301,0.261850369852,0,-1,0
2014-04-02 16:59:00,41.76,40.8383473347,0.921652665315,0,-1,0
2014-04-02 17:04:00,43.99,43.5152660279,0.474733972106,0,-1,0
2014-04-02 17:09:00,41.476,41.5212787112,0.0452787111985,0,-1,0
2014-04-02 17:14:00,39.236,40.9741537822,1.73815378219,0,-1,0
2014-04-02 17:19:00,41.798,41.0178463603,0.780153639684,0,-1,0
